slug,title,author,isbn,status,first_published,date_updated,notes
a-night-in-the-lonesome-october,A Night in the Lonesome October,Roger Zelazny,178842476X,read,1993,,
a-pair-of-blue-eyes,A Pair of Blue Eyes,Thomas Hardy,,read,1986,,
a-passage-to-india,A Passage to India,E.M. Forster,,read,1924,,
a-peoples-history-of-the-united-states,A People's History of the United States,Howard Zinn,,read,1980,,
a-personal-matter,A Personal Matter,Kenzaburō Ōe,,read,1969,,
a-personal-record,A Personal Record,Joseph Conrad,,read,1912,,
a-popular-schoolgirl,A Popular Schoolgirl,Angela Brazil,,read,1921,,
a-portrait-of-the-artist-as-a-young-man,A Portrait of the Artist as a Young Man,James Joyce,1853260061,read,1818,,
a-prefect-s-uncle,A Prefect's Uncle,Pelham Grenville Wodehouse,,read,1912,,
a-princess-of-mars,A Princess of Mars,Edgar Rice Burroughs,,read,1917,,
a-psalm-for-the-wild-built,A Psalm for the Wild-Built,Becky Chambers,9781250236227,want,2021,,
a-question-of-power,A Question of Power,Bessie Head,9781478635147,read,1972,,
a-rage-in-harlem,A Rage in Harlem,Chester Himes,9780593311943,read,1985,,
a-raisin-in-the-sun,A Raisin in the Sun,Lorraine Hansberry,9780307807441,read,1958,,
a-red-death,A Red Death,Walter Mosley,0671749897,read,1991,,
a-room-of-ones-own,A Room of One's Own,Virginia Woolf,9781770483255,read,1929,,
a-room-with-a-view,A Room with a View,E.M. Forster,,read,1905,,
a-scanner-darkly,A Scanner Darkly,Philip K. Dick,9780547572178,read,1977,,
a-season-in-hell,A Season in Hell,Arthur Rimbaud,0918526892,read,1991,,
a-secular-age,A Secular Age,Charles Taylor,9780674026766,want,2008,,
a-sentimental-journey,A Sentimental Journey,Laurence Sterne,9780141904405,read,1766,,
a-sicilian-romance,A Sicilian Romance,Ann Radcliffe,9783387065435,read,2023,,
a-spell-for-chameleon,A Spell for Chameleon,Piers Anthony,,read,,,
a-sportsmans-sketches,A Sportsman's Sketches,Ivan Turgenev,9783387318494,want,2014,,
a-start-in-life,A Start in Life,Honoré de Balzac,9783566056377,read,2025,,
a-storm-of-swords,A Storm of Swords,George R.R. Martin,9780553106633,read,2000,,
a-strange-disappearance,A Strange Disappearance,"Anna Katharine Green, Sheba Blake",9783965443969,read,2019,,
a-stranger-in-olondria,A Stranger in Olondria,Sofia Samatar,9781931520775,read,2012,,
a-streetcar-named-desire,A Streetcar Named Desire,Tennessee Williams,9781408106044,read,1947,,
a-study-in-scarlet,A Study in Scarlet,Arthur Conan Doyle,1453714812,read,1887,,
a-tale-of-a-tub,A Tale of a Tub,Jonathan Swift,9785521075591,read,1704,,
a-tale-of-two-cities,A Tale of Two Cities,Charles Dickens,9780237540982,read,1800,,
a-tangled-tale,A Tangled Tale,Lewis Carroll,9781446006832,read,2010,,
a-theory-of-justice,A Theory of Justice,John Rawls,0674042581,read,1971,,
a-thief-in-the-night,A Thief in the Night,E. W. Hornung,9781222378962,read,2022,,
a-thousand-plateaus,A Thousand Plateaus,Gilles Deleuze,0826476945,want,2014,,
a-tomb-for-boris-davidovich,A Tomb for Boris Davidovich,Danilo Kiš,1564782735,read,1980,,
a-tour-of-c,A Tour of C++,Bjarne Stroustrup,9780136823544,read,2013,,
a-treatise-concerning-the-principles-of-human-knowledge,A Treatise Concerning the Principles of Human Knowledge,George Berkeley,048643253X,read,1710,,
a-treatise-of-human-nature,A Treatise of Human Nature,David Hume,9780141904641,read,1739,,
a-view-from-the-bridge,A View from the Bridge,Arthur Miller,1470148315,read,1955,,
a-vindication-of-the-rights-of-woman,A Vindication of the Rights of Woman,Mary Wollstonecraft,9780679413370,read,1992,,
a-visit-from-st-nicholas,A Visit from St. Nicholas,Clement Clarke Moore,,read,1849,,
a-visit-from-the-goon-squad,A Visit from the Goon Squad,Jennifer Egan,9780307948359,want,2010,,
a-visit-from-the-greys,A Visit from the Greys,Drac Von Stoller,9781465762467,read,2011,,
a-voice-from-the-south,A Voice from the South,Anna Julia Cooper,,read,2024,,
a-voyage-to-arcturus,A Voyage to Arcturus,David Lindsay,9783566049119,read,2025,,
a-week-on-the-concord-and-merrimack-rivers,A Week on the Concord and Merrimack Rivers,Henry David Thoreau,,read,1862,,
a-wizard-of-earthsea,A Wizard of Earthsea,Ursula K. Le Guin,,read,1968,,
a-wizards-guide-to-defensive-baking,A Wizard's Guide to Defensive Baking,T. Kingfisher,1614505241,read,2020,,
a-woman-of-no-importance,A Woman of No Importance,Sonia Purnell,9780735225312,read,2020,,
a-woman-of-thirty,A Woman of Thirty,Honoré de Balzac,9781775453598,read,2011,,
a-womans-story,A Woman's Story,Annie Ernaux,,read,1992,,
a-yankee-in-the-trenches,A Yankee in the Trenches,R. Derby Holmes,1774417286,read,1918,,
abaddons-gate,Abaddon's Gate,James S.A. Corey,9780316235426,want,2013,,
abandon,Abandon,Meg Cabot,9780545387699,read,2011,,
abhorsen,Abhorsen,Garth Nix,9780061975103,read,2003,,
absalom-absalom,"Absalom, Absalom!",William Faulkner,9780679732181,read,1936,,
absolute-openbsd,Absolute OpenBSD,Michael W. Lucas,9781593274764,read,2013,,
accelerando,Accelerando,Charles Stross,9781101208472,read,1900,,
acceptance,Acceptance,Jeff VanderMeer,9780374104115,want,2014,,
accordion-crimes,Accordion Crimes,Annie Proulx,9781416588887,read,1996,,
ada-or-ardor,"Ada, or Ardor",Vladimir Nabokov,0679725229,read,1990,,
adam-bede,Adam Bede,George Eliot,,read,1800,,
adam-eve-and-the-serpent,"Adam, Eve, and the Serpent",Elaine Pagels,9780307807359,read,1988,,
